product_name,category,product_type,brand,color,size,material,price,discount,rating,stock,occasion,date,description
Adidas Linen Shirt,Shirts,Linen Shirt,Adidas,Blue,S,Leather,7876,44,4.7,92,Formal,2024-03,"Adidas Linen Shirt made of Leather, suitable for formal wear."
Puma Digital Watch,Watches,Digital Watch,Puma,Black,Free,Denim,7075,8,3.3,119,Sports,2024-11,"Puma Digital Watch made of Denim, suitable for sports wear."
Zara Backpack,Bags,Backpack,Zara,Red,Free,Canvas,6337,15,3.1,91,Sports,2024-04,"Zara Backpack made of Canvas, suitable for sports wear."
H&M Sling Bag,Bags,Sling Bag,H&M,Blue,Free,Polyester,3203,37,4.6,182,Sports,2024-06,"H&M Sling Bag made of Polyester, suitable for sports wear."
H&M Digital Watch,Watches,Digital Watch,H&M,Grey,Free,Cotton,4553,14,4.1,27,Casual,2024-12,"H&M Digital Watch made of Cotton, suitable for casual wear."
Tommy Hilfiger Backpack,Bags,Backpack,Tommy Hilfiger,Green,Free,Cotton,3276,41,4.8,95,Casual,2024-02,"Tommy Hilfiger Backpack made of Cotton, suitable for casual wear."
Puma Duffel Bag,Bags,Duffel Bag,Puma,Red,Free,Canvas,6014,49,4.0,29,Party,2024-01,"Puma Duffel Bag made of Canvas, suitable for party wear."
Levis Joggers,Pants,Joggers,Levis,Grey,L,Leather,4023,18,3.8,172,Travel,2024-04,"Levis Joggers made of Leather, suitable for travel wear."
Levis Formal Shirt,Shirts,Formal Shirt,Levis,Red,S,Leather,2119,12,3.8,107,Party,2024-01,"Levis Formal Shirt made of Leather, suitable for party wear."
Nike Linen Shirt,Shirts,Linen Shirt,Nike,Brown,XL,Leather,775,44,4.4,74,Formal,2024-08,"Nike Linen Shirt made of Leather, suitable for formal wear."
Puma Linen Shirt,Shirts,Linen Shirt,Puma,Brown,XL,Leather,5799,9,3.1,127,Formal,2024-12,"Puma Linen Shirt made of Leather, suitable for formal wear."
Nike Digital Watch,Watches,Digital Watch,Nike,Grey,Free,Polyester,5486,6,3.1,31,Formal,2024-05,"Nike Digital Watch made of Polyester, suitable for formal wear."
Fossil Trousers,Pants,Trousers,Fossil,Blue,M,Leather,5429,30,3.3,168,Formal,2024-12,"Fossil Trousers made of Leather, suitable for formal wear."
Tommy Hilfiger Linen Shirt,Shirts,Linen Shirt,Tommy Hilfiger,White,XL,Canvas,7852,5,4.3,197,Travel,2024-02,"Tommy Hilfiger Linen Shirt made of Canvas, suitable for travel wear."
H&M Sandals,Footwear,Sandals,H&M,Grey,Free,Polyester,6374,31,3.4,69,Formal,2024-06,"H&M Sandals made of Polyester, suitable for formal wear."
Puma Analog Watch,Watches,Analog Watch,Puma,Black,Free,Polyester,7802,19,4.4,143,Party,2024-12,"Puma Analog Watch made of Polyester, suitable for party wear."
Puma Laptop Bag,Bags,Laptop Bag,Puma,Brown,Free,Cotton,7070,22,3.5,144,Sports,2024-12,"Puma Laptop Bag made of Cotton, suitable for sports wear."
H&M Sandals,Footwear,Sandals,H&M,Black,Free,Cotton,2733,21,4.8,196,Party,2024-11,"H&M Sandals made of Cotton, suitable for party wear."
Tommy Hilfiger Chinos,Pants,Chinos,Tommy Hilfiger,Blue,M,Denim,5165,28,3.7,11,Formal,2024-12,"Tommy Hilfiger Chinos made of Denim, suitable for formal wear."
H&M Analog Watch,Watches,Analog Watch,H&M,Blue,Free,Canvas,4618,44,4.8,56,Formal,2024-09,"H&M Analog Watch made of Canvas, suitable for formal wear."
Levis Laptop Bag,Bags,Laptop Bag,Levis,Blue,Free,Cotton,4815,47,4.2,56,Casual,2024-04,"Levis Laptop Bag made of Cotton, suitable for casual wear."
Tommy Hilfiger Smart Watch,Watches,Smart Watch,Tommy Hilfiger,Black,Free,Cotton,1383,32,3.6,75,Sports,2024-04,"Tommy Hilfiger Smart Watch made of Cotton, suitable for sports wear."
Tommy Hilfiger Formal Shoes,Footwear,Formal Shoes,Tommy Hilfiger,Black,Free,Cotton,7755,31,3.3,5,Party,2024-06,"Tommy Hilfiger Formal Shoes made of Cotton, suitable for party wear."
Fossil Jeans,Pants,Jeans,Fossil,Green,S,Leather,3305,50,5.0,51,Sports,2024-05,"Fossil Jeans made of Leather, suitable for sports wear."
Adidas Joggers,Pants,Joggers,Adidas,Grey,XL,Canvas,1917,13,4.7,15,Formal,2024-05,"Adidas Joggers made of Canvas, suitable for formal wear."
Nike Casual Shirt,Shirts,Casual Shirt,Nike,Blue,M,Canvas,4906,22,3.9,20,Sports,2024-09,"Nike Casual Shirt made of Canvas, suitable for sports wear."
Adidas Formal Shoes,Footwear,Formal Shoes,Adidas,Black,Free,Canvas,3616,41,4.2,175,Formal,2024-01,"Adidas Formal Shoes made of Canvas, suitable for formal wear."
Fossil Backpack,Bags,Backpack,Fossil,Grey,Free,Denim,1433,20,4.6,122,Casual,2024-11,"Fossil Backpack made of Denim, suitable for casual wear."
Nike Sandals,Footwear,Sandals,Nike,Grey,Free,Denim,3629,44,4.2,117,Party,2024-08,"Nike Sandals made of Denim, suitable for party wear."
Tommy Hilfiger Running Shoes,Footwear,Running Shoes,Tommy Hilfiger,Grey,Free,Leather,8029,44,4.5,55,Sports,2024-03,"Tommy Hilfiger Running Shoes made of Leather, suitable for sports wear."
Puma Chinos,Pants,Chinos,Puma,Green,XL,Polyester,7212,46,4.2,78,Travel,2024-01,"Puma Chinos made of Polyester, suitable for travel wear."
Tommy Hilfiger Linen Shirt,Shirts,Linen Shirt,Tommy Hilfiger,Black,XL,Denim,5430,34,3.5,26,Travel,2024-02,"Tommy Hilfiger Linen Shirt made of Denim, suitable for travel wear."
Zara Analog Watch,Watches,Analog Watch,Zara,Black,Free,Canvas,7771,11,3.1,9,Party,2024-09,"Zara Analog Watch made of Canvas, suitable for party wear."
Adidas Formal Shoes,Footwear,Formal Shoes,Adidas,Red,Free,Polyester,1491,16,4.1,5,Travel,2024-10,"Adidas Formal Shoes made of Polyester, suitable for travel wear."
Tommy Hilfiger Sandals,Footwear,Sandals,Tommy Hilfiger,Black,Free,Polyester,5061,33,4.8,190,Casual,2024-12,"Tommy Hilfiger Sandals made of Polyester, suitable for casual wear."
Fossil Denim Shirt,Shirts,Denim Shirt,Fossil,Brown,M,Cotton,6509,9,3.1,123,Travel,2024-02,"Fossil Denim Shirt made of Cotton, suitable for travel wear."
Fossil Backpack,Bags,Backpack,Fossil,Blue,Free,Polyester,6239,46,4.1,173,Casual,2024-05,"Fossil Backpack made of Polyester, suitable for casual wear."
Adidas Jeans,Pants,Jeans,Adidas,Grey,S,Polyester,9687,32,4.4,123,Travel,2024-08,"Adidas Jeans made of Polyester, suitable for travel wear."
Fossil Sneakers,Footwear,Sneakers,Fossil,Green,Free,Denim,3411,30,3.0,150,Travel,2024-04,"Fossil Sneakers made of Denim, suitable for travel wear."
Fossil Formal Shoes,Footwear,Formal Shoes,Fossil,Brown,Free,Leather,9870,41,4.7,67,Formal,2024-04,"Fossil Formal Shoes made of Leather, suitable for formal wear."
Puma Trousers,Pants,Trousers,Puma,Red,L,Cotton,3072,26,4.6,68,Casual,2024-11,"Puma Trousers made of Cotton, suitable for casual wear."
Nike Joggers,Pants,Joggers,Nike,Red,M,Polyester,3378,15,3.4,102,Party,2024-01,"Nike Joggers made of Polyester, suitable for party wear."
Puma Sneakers,Footwear,Sneakers,Puma,Blue,Free,Polyester,5786,7,3.6,21,Sports,2024-05,"Puma Sneakers made of Polyester, suitable for sports wear."
Levis Smart Watch,Watches,Smart Watch,Levis,White,Free,Cotton,6762,37,4.6,162,Travel,2024-11,"Levis Smart Watch made of Cotton, suitable for travel wear."
Tommy Hilfiger Running Shoes,Footwear,Running Shoes,Tommy Hilfiger,Grey,Free,Canvas,8968,34,4.1,52,Casual,2024-06,"Tommy Hilfiger Running Shoes made of Canvas, suitable for casual wear."
Nike Denim Shirt,Shirts,Denim Shirt,Nike,White,M,Polyester,9722,23,4.1,41,Sports,2024-05,"Nike Denim Shirt made of Polyester, suitable for sports wear."
Fossil Sandals,Footwear,Sandals,Fossil,Green,Free,Polyester,2424,21,4.5,99,Party,2024-12,"Fossil Sandals made of Polyester, suitable for party wear."
Adidas Denim Shirt,Shirts,Denim Shirt,Adidas,Red,S,Cotton,6879,17,4.9,110,Casual,2024-10,"Adidas Denim Shirt made of Cotton, suitable for casual wear."
Zara Jeans,Pants,Jeans,Zara,Grey,M,Cotton,3516,29,3.7,106,Formal,2024-02,"Zara Jeans made of Cotton, suitable for formal wear."
Fossil Jeans,Pants,Jeans,Fossil,Red,M,Cotton,7630,36,3.7,168,Casual,2024-04,"Fossil Jeans made of Cotton, suitable for casual wear."
Adidas Smart Watch,Watches,Smart Watch,Adidas,White,Free,Polyester,8544,7,4.0,84,Party,2024-10,"Adidas Smart Watch made of Polyester, suitable for party wear."
Adidas Trousers,Pants,Trousers,Adidas,Blue,M,Denim,548,22,3.0,34,Party,2024-11,"Adidas Trousers made of Denim, suitable for party wear."
Tommy Hilfiger Chinos,Pants,Chinos,Tommy Hilfiger,Blue,S,Cotton,2756,16,3.4,66,Travel,2024-03,"Tommy Hilfiger Chinos made of Cotton, suitable for travel wear."
H&M Formal Shirt,Shirts,Formal Shirt,H&M,White,S,Cotton,2210,49,4.8,97,Travel,2024-11,"H&M Formal Shirt made of Cotton, suitable for travel wear."
Puma Sandals,Footwear,Sandals,Puma,Blue,Free,Polyester,9227,45,4.3,115,Formal,2024-02,"Puma Sandals made of Polyester, suitable for formal wear."
Adidas Formal Shoes,Footwear,Formal Shoes,Adidas,White,Free,Denim,9425,44,4.3,146,Casual,2024-12,"Adidas Formal Shoes made of Denim, suitable for casual wear."
Puma Formal Shirt,Shirts,Formal Shirt,Puma,White,XL,Canvas,9202,17,3.8,100,Party,2024-02,"Puma Formal Shirt made of Canvas, suitable for party wear."
Puma Smart Watch,Watches,Smart Watch,Puma,Black,Free,Polyester,8659,44,4.1,107,Casual,2024-07,"Puma Smart Watch made of Polyester, suitable for casual wear."
Zara Formal Shirt,Shirts,Formal Shirt,Zara,Black,XL,Canvas,1990,14,3.6,113,Travel,2024-01,"Zara Formal Shirt made of Canvas, suitable for travel wear."
Fossil Denim Shirt,Shirts,Denim Shirt,Fossil,Blue,L,Polyester,9914,11,4.4,191,Casual,2024-10,"Fossil Denim Shirt made of Polyester, suitable for casual wear."
Nike Joggers,Pants,Joggers,Nike,Black,M,Leather,4184,33,4.5,51,Sports,2024-04,"Nike Joggers made of Leather, suitable for sports wear."
Fossil Sneakers,Footwear,Sneakers,Fossil,Brown,Free,Cotton,3621,16,4.4,83,Travel,2024-02,"Fossil Sneakers made of Cotton, suitable for travel wear."
Adidas Formal Shirt,Shirts,Formal Shirt,Adidas,Red,M,Canvas,7495,50,3.4,198,Casual,2024-08,"Adidas Formal Shirt made of Canvas, suitable for casual wear."
Zara Analog Watch,Watches,Analog Watch,Zara,Brown,Free,Cotton,5637,37,3.7,173,Sports,2024-10,"Zara Analog Watch made of Cotton, suitable for sports wear."
Levis Sneakers,Footwear,Sneakers,Levis,Brown,Free,Denim,1238,28,3.3,158,Casual,2024-03,"Levis Sneakers made of Denim, suitable for casual wear."
Tommy Hilfiger Joggers,Pants,Joggers,Tommy Hilfiger,Black,L,Polyester,5300,35,4.4,179,Sports,2024-05,"Tommy Hilfiger Joggers made of Polyester, suitable for sports wear."
Adidas Denim Shirt,Shirts,Denim Shirt,Adidas,Black,XL,Leather,1244,34,3.0,70,Casual,2024-06,"Adidas Denim Shirt made of Leather, suitable for casual wear."
Levis Sneakers,Footwear,Sneakers,Levis,Grey,Free,Leather,8560,14,3.9,194,Travel,2024-01,"Levis Sneakers made of Leather, suitable for travel wear."
Levis Analog Watch,Watches,Analog Watch,Levis,Black,Free,Denim,8329,15,3.8,49,Formal,2024-02,"Levis Analog Watch made of Denim, suitable for formal wear."
H&M Duffel Bag,Bags,Duffel Bag,H&M,Blue,Free,Denim,1707,44,4.1,112,Travel,2024-01,"H&M Duffel Bag made of Denim, suitable for travel wear."
Levis Formal Shirt,Shirts,Formal Shirt,Levis,Grey,XL,Canvas,7246,12,3.3,129,Formal,2024-03,"Levis Formal Shirt made of Canvas, suitable for formal wear."
Zara Joggers,Pants,Joggers,Zara,Brown,XL,Denim,7307,15,3.2,184,Formal,2024-01,"Zara Joggers made of Denim, suitable for formal wear."
Levis Denim Shirt,Shirts,Denim Shirt,Levis,Green,M,Canvas,8015,6,4.0,0,Party,2024-12,"Levis Denim Shirt made of Canvas, suitable for party wear."
Adidas Sling Bag,Bags,Sling Bag,Adidas,Green,Free,Cotton,5298,44,3.4,194,Party,2024-12,"Adidas Sling Bag made of Cotton, suitable for party wear."
Fossil Sandals,Footwear,Sandals,Fossil,Black,Free,Leather,9684,38,3.7,12,Travel,2024-03,"Fossil Sandals made of Leather, suitable for travel wear."
Adidas Casual Shirt,Shirts,Casual Shirt,Adidas,Brown,L,Polyester,9927,50,4.0,42,Travel,2024-01,"Adidas Casual Shirt made of Polyester, suitable for travel wear."
Fossil Sling Bag,Bags,Sling Bag,Fossil,White,Free,Cotton,7057,18,5.0,80,Casual,2024-01,"Fossil Sling Bag made of Cotton, suitable for casual wear."
Zara Chinos,Pants,Chinos,Zara,Red,XL,Denim,8933,27,4.9,93,Sports,2024-05,"Zara Chinos made of Denim, suitable for sports wear."
Fossil Sandals,Footwear,Sandals,Fossil,White,Free,Denim,6237,36,4.7,70,Travel,2024-05,"Fossil Sandals made of Denim, suitable for travel wear."
Fossil Backpack,Bags,Backpack,Fossil,Grey,Free,Denim,5358,22,3.1,70,Party,2024-11,"Fossil Backpack made of Denim, suitable for party wear."
Adidas Digital Watch,Watches,Digital Watch,Adidas,Black,Free,Polyester,6556,40,3.5,79,Casual,2024-09,"Adidas Digital Watch made of Polyester, suitable for casual wear."
Nike Sandals,Footwear,Sandals,Nike,Brown,Free,Polyester,4261,41,3.1,173,Formal,2024-09,"Nike Sandals made of Polyester, suitable for formal wear."
Zara Formal Shirt,Shirts,Formal Shirt,Zara,Red,XL,Denim,679,28,4.5,22,Casual,2024-10,"Zara Formal Shirt made of Denim, suitable for casual wear."
Puma Chinos,Pants,Chinos,Puma,Black,XL,Cotton,1356,12,3.7,57,Formal,2024-12,"Puma Chinos made of Cotton, suitable for formal wear."
Zara Chinos,Pants,Chinos,Zara,Green,M,Denim,4715,46,5.0,9,Formal,2024-09,"Zara Chinos made of Denim, suitable for formal wear."
H&M Analog Watch,Watches,Analog Watch,H&M,White,Free,Cotton,1979,18,3.4,66,Formal,2024-03,"H&M Analog Watch made of Cotton, suitable for formal wear."
H&M Sneakers,Footwear,Sneakers,H&M,White,Free,Canvas,758,23,4.9,42,Formal,2024-12,"H&M Sneakers made of Canvas, suitable for formal wear."
Nike Chinos,Pants,Chinos,Nike,Green,L,Cotton,9274,48,3.7,97,Casual,2024-01,"Nike Chinos made of Cotton, suitable for casual wear."
Tommy Hilfiger Sandals,Footwear,Sandals,Tommy Hilfiger,White,Free,Cotton,5060,22,3.4,163,Sports,2024-05,"Tommy Hilfiger Sandals made of Cotton, suitable for sports wear."
Levis Duffel Bag,Bags,Duffel Bag,Levis,Grey,Free,Cotton,1042,15,4.9,131,Casual,2024-03,"Levis Duffel Bag made of Cotton, suitable for casual wear."
Puma Joggers,Pants,Joggers,Puma,Red,S,Denim,6827,32,4.1,182,Travel,2024-05,"Puma Joggers made of Denim, suitable for travel wear."
H&M Sling Bag,Bags,Sling Bag,H&M,Blue,Free,Canvas,2225,34,4.4,12,Party,2024-09,"H&M Sling Bag made of Canvas, suitable for party wear."
Nike Analog Watch,Watches,Analog Watch,Nike,Green,Free,Polyester,2543,21,3.1,172,Party,2024-09,"Nike Analog Watch made of Polyester, suitable for party wear."
Zara Sling Bag,Bags,Sling Bag,Zara,Black,Free,Leather,7799,20,3.6,92,Formal,2024-08,"Zara Sling Bag made of Leather, suitable for formal wear."
Tommy Hilfiger Sandals,Footwear,Sandals,Tommy Hilfiger,Black,Free,Polyester,3465,11,4.4,119,Party,2024-11,"Tommy Hilfiger Sandals made of Polyester, suitable for party wear."
Levis Joggers,Pants,Joggers,Levis,Black,L,Polyester,4738,11,3.4,15,Party,2024-10,"Levis Joggers made of Polyester, suitable for party wear."
H&M Analog Watch,Watches,Analog Watch,H&M,Grey,Free,Canvas,5527,30,3.3,84,Sports,2024-06,"H&M Analog Watch made of Canvas, suitable for sports wear."
Levis Formal Shoes,Footwear,Formal Shoes,Levis,White,Free,Leather,5895,7,3.4,93,Travel,2024-03,"Levis Formal Shoes made of Leather, suitable for travel wear."
Adidas Joggers,Pants,Joggers,Adidas,Green,L,Canvas,6067,25,4.9,177,Formal,2024-05,"Adidas Joggers made of Canvas, suitable for formal wear."
Zara Smart Watch,Watches,Smart Watch,Zara,Grey,Free,Polyester,8435,10,4.0,138,Party,2024-09,"Zara Smart Watch made of Polyester, suitable for party wear."
Levis Running Shoes,Footwear,Running Shoes,Levis,Black,Free,Leather,5152,44,4.4,26,Sports,2024-12,"Levis Running Shoes made of Leather, suitable for sports wear."
Nike Jeans,Pants,Jeans,Nike,White,L,Polyester,1556,36,4.8,110,Sports,2024-02,"Nike Jeans made of Polyester, suitable for sports wear."
Zara Running Shoes,Footwear,Running Shoes,Zara,Brown,Free,Cotton,2105,10,4.0,99,Formal,2024-02,"Zara Running Shoes made of Cotton, suitable for formal wear."
Zara Denim Shirt,Shirts,Denim Shirt,Zara,Green,S,Leather,6536,48,4.8,5,Party,2024-12,"Zara Denim Shirt made of Leather, suitable for party wear."
Zara Laptop Bag,Bags,Laptop Bag,Zara,White,Free,Leather,3865,22,4.4,174,Casual,2024-09,"Zara Laptop Bag made of Leather, suitable for casual wear."
Adidas Chinos,Pants,Chinos,Adidas,Blue,L,Cotton,5071,29,3.5,122,Formal,2024-08,"Adidas Chinos made of Cotton, suitable for formal wear."
Fossil Laptop Bag,Bags,Laptop Bag,Fossil,Grey,Free,Cotton,1383,45,4.3,166,Travel,2024-02,"Fossil Laptop Bag made of Cotton, suitable for travel wear."
Puma Running Shoes,Footwear,Running Shoes,Puma,Brown,Free,Denim,9735,48,4.4,36,Travel,2024-09,"Puma Running Shoes made of Denim, suitable for travel wear."
Fossil Laptop Bag,Bags,Laptop Bag,Fossil,Red,Free,Cotton,7217,34,3.1,179,Travel,2024-02,"Fossil Laptop Bag made of Cotton, suitable for travel wear."
Levis Running Shoes,Footwear,Running Shoes,Levis,Blue,Free,Leather,5422,49,5.0,17,Travel,2024-02,"Levis Running Shoes made of Leather, suitable for travel wear."
Zara Sandals,Footwear,Sandals,Zara,White,Free,Cotton,4651,24,4.4,130,Formal,2024-06,"Zara Sandals made of Cotton, suitable for formal wear."
Tommy Hilfiger Joggers,Pants,Joggers,Tommy Hilfiger,Brown,XL,Cotton,6035,32,4.0,22,Formal,2024-09,"Tommy Hilfiger Joggers made of Cotton, suitable for formal wear."
Fossil Jeans,Pants,Jeans,Fossil,Brown,XL,Cotton,8846,32,3.7,131,Sports,2024-08,"Fossil Jeans made of Cotton, suitable for sports wear."
Fossil Chinos,Pants,Chinos,Fossil,Red,S,Cotton,6862,7,4.1,114,Travel,2024-12,"Fossil Chinos made of Cotton, suitable for travel wear."
Nike Casual Shirt,Shirts,Casual Shirt,Nike,Green,XL,Denim,4663,23,4.3,44,Formal,2024-04,"Nike Casual Shirt made of Denim, suitable for formal wear."
Adidas Denim Shirt,Shirts,Denim Shirt,Adidas,Grey,XL,Leather,7523,43,3.0,45,Formal,2024-02,"Adidas Denim Shirt made of Leather, suitable for formal wear."
Puma Denim Shirt,Shirts,Denim Shirt,Puma,Grey,XL,Canvas,2078,38,4.1,159,Casual,2024-05,"Puma Denim Shirt made of Canvas, suitable for casual wear."
Fossil Sling Bag,Bags,Sling Bag,Fossil,Blue,Free,Cotton,798,7,3.5,138,Casual,2024-03,"Fossil Sling Bag made of Cotton, suitable for casual wear."
Fossil Sandals,Footwear,Sandals,Fossil,Brown,Free,Leather,1044,29,4.9,171,Formal,2024-01,"Fossil Sandals made of Leather, suitable for formal wear."
Zara Formal Shoes,Footwear,Formal Shoes,Zara,Brown,Free,Canvas,2711,21,4.8,72,Party,2024-06,"Zara Formal Shoes made of Canvas, suitable for party wear."
Zara Running Shoes,Footwear,Running Shoes,Zara,Green,Free,Denim,4016,36,3.7,18,Casual,2024-03,"Zara Running Shoes made of Denim, suitable for casual wear."
Fossil Joggers,Pants,Joggers,Fossil,Grey,M,Leather,3504,25,4.9,149,Formal,2024-06,"Fossil Joggers made of Leather, suitable for formal wear."
Puma Sandals,Footwear,Sandals,Puma,Red,Free,Polyester,5730,28,4.3,97,Travel,2024-11,"Puma Sandals made of Polyester, suitable for travel wear."
Zara Running Shoes,Footwear,Running Shoes,Zara,Grey,Free,Canvas,6419,28,3.4,134,Sports,2024-12,"Zara Running Shoes made of Canvas, suitable for sports wear."
Tommy Hilfiger Smart Watch,Watches,Smart Watch,Tommy Hilfiger,Green,Free,Leather,9801,34,3.8,105,Sports,2024-01,"Tommy Hilfiger Smart Watch made of Leather, suitable for sports wear."
H&M Joggers,Pants,Joggers,H&M,Brown,S,Cotton,6105,39,3.1,89,Formal,2024-06,"H&M Joggers made of Cotton, suitable for formal wear."
Fossil Chinos,Pants,Chinos,Fossil,Blue,M,Polyester,4715,44,4.4,155,Sports,2024-05,"Fossil Chinos made of Polyester, suitable for sports wear."
Fossil Smart Watch,Watches,Smart Watch,Fossil,Black,Free,Leather,864,42,4.9,40,Formal,2024-09,"Fossil Smart Watch made of Leather, suitable for formal wear."
Puma Formal Shoes,Footwear,Formal Shoes,Puma,Brown,Free,Denim,9072,45,4.5,177,Sports,2024-12,"Puma Formal Shoes made of Denim, suitable for sports wear."
Fossil Linen Shirt,Shirts,Linen Shirt,Fossil,Blue,S,Leather,4438,16,3.5,100,Casual,2024-03,"Fossil Linen Shirt made of Leather, suitable for casual wear."
Nike Smart Watch,Watches,Smart Watch,Nike,Green,Free,Polyester,4887,30,5.0,91,Travel,2024-01,"Nike Smart Watch made of Polyester, suitable for travel wear."
Zara Linen Shirt,Shirts,Linen Shirt,Zara,White,M,Cotton,4057,5,3.6,145,Travel,2024-12,"Zara Linen Shirt made of Cotton, suitable for travel wear."
Adidas Sandals,Footwear,Sandals,Adidas,Blue,Free,Cotton,3017,27,3.3,28,Formal,2024-10,"Adidas Sandals made of Cotton, suitable for formal wear."
H&M Running Shoes,Footwear,Running Shoes,H&M,Green,Free,Cotton,2201,30,4.0,73,Travel,2024-09,"H&M Running Shoes made of Cotton, suitable for travel wear."
Puma Formal Shirt,Shirts,Formal Shirt,Puma,Red,XL,Leather,4742,40,3.2,67,Party,2024-01,"Puma Formal Shirt made of Leather, suitable for party wear."
Fossil Laptop Bag,Bags,Laptop Bag,Fossil,Black,Free,Canvas,2821,11,3.8,174,Travel,2024-09,"Fossil Laptop Bag made of Canvas, suitable for travel wear."
Adidas Casual Shirt,Shirts,Casual Shirt,Adidas,Blue,XL,Canvas,2432,44,4.6,167,Sports,2024-09,"Adidas Casual Shirt made of Canvas, suitable for sports wear."
Levis Joggers,Pants,Joggers,Levis,Grey,S,Leather,7498,16,4.7,160,Party,2024-01,"Levis Joggers made of Leather, suitable for party wear."
Fossil Formal Shoes,Footwear,Formal Shoes,Fossil,Brown,Free,Canvas,6009,15,4.2,118,Travel,2024-10,"Fossil Formal Shoes made of Canvas, suitable for travel wear."
Tommy Hilfiger Trousers,Pants,Trousers,Tommy Hilfiger,Blue,XL,Cotton,9542,28,3.3,26,Sports,2024-12,"Tommy Hilfiger Trousers made of Cotton, suitable for sports wear."
Fossil Analog Watch,Watches,Analog Watch,Fossil,Black,Free,Canvas,2773,10,3.3,131,Formal,2024-04,"Fossil Analog Watch made of Canvas, suitable for formal wear."
Levis Joggers,Pants,Joggers,Levis,Brown,S,Denim,4642,30,4.2,4,Casual,2024-11,"Levis Joggers made of Denim, suitable for casual wear."
Tommy Hilfiger Sling Bag,Bags,Sling Bag,Tommy Hilfiger,Blue,Free,Cotton,6320,8,3.8,193,Sports,2024-10,"Tommy Hilfiger Sling Bag made of Cotton, suitable for sports wear."
Adidas Jeans,Pants,Jeans,Adidas,Blue,S,Polyester,2738,23,3.7,88,Formal,2024-02,"Adidas Jeans made of Polyester, suitable for formal wear."
H&M Linen Shirt,Shirts,Linen Shirt,H&M,Red,M,Cotton,7213,17,3.4,83,Casual,2024-02,"H&M Linen Shirt made of Cotton, suitable for casual wear."
Nike Trousers,Pants,Trousers,Nike,Blue,M,Cotton,8534,34,4.2,139,Formal,2024-10,"Nike Trousers made of Cotton, suitable for formal wear."
Puma Sneakers,Footwear,Sneakers,Puma,Blue,Free,Canvas,7339,7,4.6,29,Formal,2024-01,"Puma Sneakers made of Canvas, suitable for formal wear."
